,Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
,[GA Alliance],,,,,,,,,,
,[N36-37Arathi],,,,,,,,,,
,"[NX38-39Dustwallow Marsh,STV]",,,,,,,,,,
"[1] = { str = "36-37 Arathi Highlands" },","[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"[2] = { str = "This guide was written by TUGs and is totally free, but if you want to support my work use:  https://www.paypal.me/Tugstv1337" },","This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,
"[3] = { str = "Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!" },","Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
"[4] = { str = "Fly to Arathi Highlands" },",Fly to [F Arathi Highlands],Fly,,,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=
"[5] = { str = "Accept: #ACCEPTNorthfold Manor#" },",Accept: [QA681],Accept,681,Northfold Manor,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=681
"[6] = { str = "Accept(this is an optional quest! Do it if you can) #ACCEPTWanted! Marez Cowl#" },",Accept: [QA684][O],AcceptOptional,684,Wanted! Marez Cowl,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=684
"[7] = { str = "Accept(this is an optional quest! Do it if you can) #ACCEPTWanted! Otto and Falconcrest#" },",Accept: [QA685][O],AcceptOptional,685,Wanted! Otto and Falconcrest,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=685
"[8] = { str = "TurnIn: #TURNINMalin's Request# " },",TurnIn: [QT690],Turnin,690,Malin's Request,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=690
"[9] = { str = "Accept: #ACCEPTWorth Its Weight in Gold#" },",Accept: [QA691],Accept,691,Worth Its Weight in Gold,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=691
"[10] = { str = "Accept: #ACCEPTThe Princess Trapped#" },",Accept: [QA642],Accept,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642
"[11] = { str = "DoQuest: #DOQUESTThe Princess Trapped# " },",Do: [QC642],Do,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642
"[12] = { str = "TurnIn: #TURNINThe Princess Trapped# " },",TurnIn: [QT642],Turnin,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642
"[13] = { str = "Grind till youre 36 and 3/4" },",Grind till youre 36 and 3/4,Text,,,Arathi Highlands,,,,,Grind till youre 36 and 3/4,https://classic.wowhead.com/quest=
"[14] = { str = "Accept: #ACCEPTStones of Binding#" },",Accept: [QA651],Accept,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651
"[15] = { str = "DoQuest: #DOQUESTStones of Binding# " },",Do: [QC651],Do,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651
